Population,growthrate3mm,growthratefinal,Ageatmaturity,Finallength
Gb,.01700934579,.03069444444,179,5.21
Gb,.01401162791,.0265625,268,5.55
Gb,.01471698113,.035,213,4.89
Gb,.02794871795,.009124087591,215,4.25
Gb,.0275,.02148514851,177,5.17
Gb,.01327102804,.02481481481,161,4.34
Gb,.02337349398,.01861111111,191,5.01
Gb,.01714285714,.06785714286,140,4.9
Gb,.01568807339,.02752293578, , 
Gb,.01510344828,.06714285714,173,4.88
Md,.01342105263,.03728813559,211,5.2
Md,.01422077922,.02551724138,241,5.22
Md,.01879699248,.01794871795,211,4.4
Md,.02604166667,.04065217391,142,4.87
Md,.02666666667, , , 
Md,.02564102564,.03118644068,137,4.84
Md,.0137012987,.01820754717,260,4.93
Md,.01916666667,.03594202899,189,5.48
Mr,.01278911565,.02746268657,214,4.84
Mr, , , , 
Mr, , , , 
Mr,.01911504425,.01744444444,203,4.57
Mr,.015625,.01526785714,240,4.71
Mr,.01837837838,.02702702703, , 
Mr,.01683823529,.04209302326,179,4.81
Mr,.01377245509,.03978723404,214,4.87
Mr,.01853448276,.01577777778,206,4.42
Mr,.01224719101,.03673469388,227,4.8
Mr,.0125,.03263157895,225,4.86
Mr,.007822878229,.0110701107, , 
Mr,.01485714286,.02268656716,207,4.52
Mr,.01427586207,.01068376068,262,4.25
Mr,.007879858657,.04390243902,324,4.8
Mr,.01395833333,.02161764706,212,4.47
Mr, , , , 
Mr,.01018691589,.02836734694,263,4.39
Mr,.02044247788,.008456790123,275,4.37
Mr, , , , 
Mr,.01424836601,.01821782178,254,4.84
Mr,.01442176871,.01853658537,229,4.52
Mr,.01220930233,.01714285714,270,4.68
PA1,.02148148148,.03,165,4.71
PA1, , , , 
PA1, , , , 
PA1,.01829059829,.04833333333,165,5.32
PA1,.02111111111,.05209302326,151,5.24
PA1,.01601503759,.03101449275,202,5.14
PA1,.01841269841,.02507246377,195,4.73
Pa1,.01796992481,.03194444444,205,5.3
PA1,.02024590164,.03464285714,178,4.94
PA1,.01785123967,-.19,111,4.9
PA1,.0220754717,.05833333333,154,5.8
PA1,.01609929078,.02647058824,226,5.25
PA1,.01411764706,.009090909091,340,4.7
PA1,.01043290043,.01464285714,315,4.23
PA1, , , , 
PA1, , , , 
PA1,.01910569106,.03947368421,180,5.25
PA1,.02397959184,.03246575342,171,5.37
PA1,.02018691589,.02948275862,165,4.71
PA1,.02059405941,.03507042254,172,5.49
Pc,.01554140127,.01632653061,206,3.8
Pc,.01889908257,.02779411765,177,4.89
Pc,.02306122449,.02350649351,175,4.81
Pc,.01971428571,.01206349206,168,3.76
Pc,.02417582418,.0331147541,152,5.02
Pc,.02357894737,.04652173913,141,5.14
Pc, , ,162,5.77
Pc, , , , 
Pc,.01990909091,.02173913043,156,4
Pc,.02181818182,.03170731707,151,4.3
Pc, , , , 
Pc, , , , 
Pc,.025,.01897959184,186,4.86
Pc, , ,219,3.87
Pc,.009162995595,-.05555555556,281, 
Pc,.01676767677,.01440860215,192,4.34
Sn,.01440993789,.01480392157,263,4.51
Sn,.01804347826,.054,163,4.35
Sn,.01804511278,.01057142857,203,3.74
Sn,.01870967742,.0675,148,4.62
Sn,.01522580645,.0212,205,4.06
Sn,.01284722222,.02166666667,186,3.91
Sn,.01571428571,.02066666667,179,4.24
Sn,.009122807018,.03627906977,271,4.56
Sn, , ,224,4.76
Sn,.01715328467, ,137, 
Sn,.01074766355,.03666666667,256,4.54
Sn,.01490909091, ,165, 
Sn,.02131578947,.009480519481,191,3.73
Sn,.007886435331,.009463722397, , 
Sn,.009060150376,.1014285714,273,3.71
Sn, , , , 
